index,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
46,10047,2024-02-16,Beauty Products,Clinique Moisture Surge,1,52.0,52.0,Europe,PayPal
47,10048,2024-02-17,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card
48,10049,2024-02-18,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card
49,10050,2024-02-19,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal
50,10051,2024-02-20,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card
51,10052,2024-02-21,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card
52,10053,2024-02-22,Beauty Products,Shiseido Ultimate Sun Protector,1,49.0,49.0,Europe,PayPal
53,10054,2024-02-23,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card
54,10055,2024-02-24,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card
55,10056,2024-02-25,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal
56,10057,2024-02-26,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card
57,10058,2024-02-27,Books,Educated by Tara Westover,3,28.0,84.0,North America,Credit Card
58,10059,2024-02-28,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23.0,46.0,Europe,PayPal
59,10060,2024-02-29,Sports,Hyperice Hypervolt Massager,1,349.0,349.0,Asia,Credit Card
60,10061,2024-03-01,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card
61,10062,2024-03-02,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal
62,10063,2024-03-03,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card
63,10064,2024-03-04,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card
64,10065,2024-03-05,Beauty Products,Lancome La Vie Est Belle,1,102.0,102.0,Europe,PayPal
65,10066,2024-03-06,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card
66,10067,2024-03-07,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card
67,10068,2024-03-08,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal
68,10069,2024-03-09,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card
69,10070,2024-03-10,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card
70,10071,2024-03-11,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78.0,78.0,Europe,PayPal
71,10072,2024-03-12,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card
72,10073,2024-03-13,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card
73,10074,2024-03-14,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal
74,10075,2024-03-15,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card
75,10076,2024-03-16,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card
76,10077,2024-03-17,Beauty Products,Glossier Boy Brow,2,16.0,32.0,Europe,PayPal
77,10078,2024-03-18,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card
78,10079,2024-03-19,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card
79,10080,2024-03-20,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal
80,10081,2024-03-21,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card
81,10082,2024-03-22,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card
82,10083,2024-03-23,Beauty Products,Charlotte Tilbury Magic Cream,1,100.0,100.0,Europe,PayPal
83,10084,2024-03-24,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card
84,10085,2024-03-25,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card
85,10086,2024-03-26,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal
86,10087,2024-03-27,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card
87,10088,2024-03-28,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card
88,10089,2024-03-29,Beauty Products,Sunday Riley Good Genes,1,105.0,105.0,Europe,PayPal
89,10090,2024-03-30,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card
90,10091,2024-03-31,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card
91,10092,2024-04-01,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal
92,10093,2024-04-02,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card
93,10094,2024-04-03,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card
94,10095,2024-04-04,Beauty Products,Tatcha The Water Cream,1,68.0,68.0,Europe,PayPal
95,10096,2024-04-05,Sports,Garmin Fenix 6X Pro,1,999.99,999.99,Asia,Credit Card
96,10097,2024-04-06,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,899.97,North America,Credit Card
97,10098,2024-04-07,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal
98,10099,2024-04-08,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card
99,10100,2024-04-09,Books,The Power of Now by Eckhart Tolle,2,12.99,25.98,North America,Credit Card
100,10101,2024-04-10,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82.0,82.0,Europe,PayPal
101,10102,2024-04-11,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,219.98,Asia,Credit Card
102,10103,2024-04-12,Electronics,Canon EOS R5 Camera,1,3899.99,3899.99,North America,Credit Card
103,10104,2024-04-13,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal
104,10105,2024-04-14,Clothing,H&M Slim Fit Jeans,3,39.99,119.97,Asia,Debit Card
105,10106,2024-04-15,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card
106,10107,2024-04-16,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal
107,10108,2024-04-17,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card
108,10109,2024-04-18,Electronics,Google Nest Hub Max,2,229.99,459.98,North America,Credit Card
109,10110,2024-04-19,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal
110,10111,2024-04-20,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card
111,10112,2024-04-21,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,37.98,North America,Credit Card
112,10113,2024-04-22,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15.0,15.0,Europe,PayPal
113,10114,2024-04-23,Sports,Fitbit Versa 3,3,229.95,689.85,Asia,Credit Card
114,10115,2024-04-24,Electronics,Amazon Echo Show 10,1,249.99,249.99,North America,Credit Card
115,10116,2024-04-25,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal
116,10117,2024-04-26,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card
117,10118,2024-04-27,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card
118,10119,2024-04-28,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal
119,10120,2024-04-29,Sports,YETI Hopper Flip Portable Cooler,1,249.99,249.99,Asia,Credit Card
120,10121,2024-04-30,Electronics,Apple iPad Air,2,599.99,1199.98,North America,Credit Card
121,10122,2024-05-01,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,89.99,Europe,PayPal
122,10123,2024-05-02,Clothing,Forever 21 Graphic Tee,5,12.99,64.95,Asia,Debit Card
123,10124,2024-05-03,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,44.97,North America,Credit Card
124,10125,2024-05-04,Beauty Products,NARS Radiant Creamy Concealer,1,30.0,30.0,Europe,PayPal
125,10126,2024-05-05,Sports,Yeti Roadie 24 Cooler,1,199.99,199.99,Asia,Credit Card
126,10127,2024-05-06,Electronics,Sony PlayStation 5,1,499.99,499.99,North America,Credit Card
127,10128,2024-05-07,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,799.98,Europe,PayPal
128,10129,2024-05-08,Clothing,Lululemon Align Leggings,3,98.0,294.0,Asia,Debit Card
129,10130,2024-05-09,Books,The Four Agreements by Don Miguel Ruiz,2,8.99,17.98,North America,Credit Card
130,10131,2024-05-10,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36.0,36.0,Europe,PayPal
131,10132,2024-05-11,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,159.8,Asia,Credit Card
132,10133,2024-05-12,Electronics,Microsoft Surface Laptop 4,1,1299.99,1299.99,North America,Credit Card
133,10134,2024-05-13,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,159.98,Europe,PayPal
134,10135,2024-05-14,Clothing,Gap Crewneck Sweatshirt,4,34.99,139.96,Asia,Debit Card
135,10136,2024-05-15,Books,Think and Grow Rich by Napoleon Hill,3,9.99,29.97,North America,Credit Card
136,10137,2024-05-16,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,6.8,Europe,PayPal
137,10138,2024-05-17,Sports,Fitbit Inspire 2,2,99.95,199.9,Asia,Credit Card
138,10139,2024-05-18,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1499.99,1499.99,North America,Credit Card
139,10140,2024-05-19,Home Appliances,Instant Pot Ultra,1,139.99,139.99,Europe,PayPal
140,10141,2024-05-20,Clothing,Adidas Essential Track Pants,3,44.99,134.97,Asia,Debit Card
141,10142,2024-05-21,Books,The Power of Habit by Charles Duhigg,2,11.99,23.98,North America,Credit Card
142,10143,2024-05-22,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,29.5,Europe,PayPal
143,10144,2024-05-23,Sports,YETI Tundra 45 Cooler,1,299.99,299.99,Asia,Credit Card
144,10145,2024-05-24,Electronics,Apple AirPods Max,1,549.0,549.0,North America,Credit Card
145,10146,2024-05-25,Home Appliances,Cuisinart Coffee Center,2,199.95,399.9,Europe,PayPal
146,10147,2024-05-26,Clothing,Levi's Sherpa Trucker Jacket,2,98.0,196.0,Asia,Debit Card
147,10148,2024-05-27,Books,The Outsiders by S.E. Hinton,3,10.99,32.97,North America,Credit Card
148,10149,2024-05-28,Beauty Products,Laneige Water Sleeping Mask,1,25.0,25.0,Europe,PayPal
149,10150,2024-05-29,Sports,Bose SoundSport Wireless Earbuds,2,149.99,299.98,Asia,Credit Card
150,10151,2024-05-30,Electronics,Sony WH-1000XM4 Headphones,1,349.99,349.99,North America,Credit Card
151,10152,2024-05-31,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,399.98,Europe,PayPal
152,10153,2024-06-01,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,164.97,Asia,Debit Card
153,10154,2024-06-02,Books,The Night Circus by Erin Morgenstern,2,16.99,33.98,North America,Credit Card
154,10155,2024-06-03,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59.0,59.0,Europe,PayPal
155,10156,2024-06-04,Sports,Garmin Forerunner 245,1,299.99,299.99,Asia,Credit Card
156,10157,2024-06-05,Electronics,Google Pixel 6 Pro,1,899.99,899.99,North America,Credit Card
157,10158,2024-06-06,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,499.95,Europe,PayPal
158,10159,2024-06-07,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,99.96,Asia,Debit Card
159,10160,2024-06-08,Books,The Art of War by Sun Tzu,3,7.99,23.97,North America,Credit Card
160,10161,2024-06-09,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36.0,36.0,Europe,PayPal
161,10162,2024-06-10,Sports,TriggerPoint GRID Foam Roller,2,34.99,69.98,Asia,Credit Card
162,10163,2024-06-11,Electronics,Apple MacBook Air,1,1199.99,1199.99,North America,Credit Card
163,10164,2024-06-12,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,199.99,Europe,PayPal
164,10165,2024-06-13,Clothing,Adidas 3-Stripes Shorts,5,29.99,149.95,Asia,Debit Card
165,10166,2024-06-14,Books,The Hunger Games by Suzanne Collins,4,8.99,35.96,North America,Credit Card
166,10167,2024-06-15,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,16.99,Europe,PayPal
167,10168,2024-06-16,Sports,Yeti Rambler Bottle,3,49.99,149.97,Asia,Credit Card
168,10169,2024-06-17,Electronics,Samsung Odyssey G7 Gaming Monitor,1,699.99,699.99,North America,Credit Card
169,10170,2024-06-18,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,279.98,Europe,PayPal
170,10171,2024-06-19,Clothing,Nike Tempo Running Shorts,3,34.99,104.97,Asia,Debit Card
171,10172,2024-06-20,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,9.99,19.98,North America,Credit Card
172,10173,2024-06-21,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,29.5,Europe,PayPal
173,10174,2024-06-22,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,699.99,699.99,Asia,Credit Card
174,10175,2024-06-23,Electronics,Amazon Fire TV Stick 4K,3,49.99,149.97,North America,Credit Card
175,10176,2024-06-24,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,99.98,Europe,PayPal
176,10177,2024-06-25,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,59.6,Asia,Debit Card
177,10178,2024-06-26,Books,The Sun Also Rises by Ernest Hemingway,3,11.99,35.97,North America,Credit Card
178,10179,2024-06-27,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34.0,68.0,Europe,PayPal
179,10180,2024-06-28,Sports,Oakley Holbrook Sunglasses,1,146.0,146.0,Asia,Credit Card
180,10181,2024-06-29,Electronics,Google Pixelbook Go,1,649.99,649.99,North America,Credit Card
181,10182,2024-06-30,Home Appliances,Dyson V8 Absolute,1,399.99,399.99,Europe,PayPal
